2026-04-17T16:07:33.276393+01:00 2026-04-17 15: 07:33 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=253 sifted_rate=0.4941
2026-04-17T16:07:33.277700+01:00 2026-04-17 15: 07:33 | INFO | qsh.server | event=secure_channel_active session='S0008' client='10.10.0.1'
2026-04-17T16:07:33.283883+01:00 2026-04-17 15: 07:33 | INFO | qsh.server | event=request_received session='S0008' client='10.10.0.1' action='auth'
2026-04-17T16:07:33.406524+01:00 2026-04-17 15: 07:33 | INFO | qsh.server | event=auth_success session='S0008' client='10.10.0.1'
2026-04-17T16:07:55.378193+01:00 2026-04-17 15: 07:55 | INFO | qsh.server | event=request_received session='S0008' client='10.10.0.1' action='download'
2026-04-17T16:07:55.378326+01:00 2026-04-17 15: 07:55 | INFO | qsh.server | event=file_action session='S0008' client='10.10.0.1' action='download' remote_path='testme.txt'
2026-04-17T16:08:05.132565+01:00 2026-04-17 15: 08:05 | INFO | qsh.server | event=request_received session='S0008' client='10.10.0.1' action='quit'
2026-04-17T16:08:05.132565+01:00 2026-04-17 15: 08:05 | INFO | qsh.server | event=session_close session='S0008' client='10.10.0.1' reason='client_quit'
2026-04-17T16:30:05.025545+01:00 2026-04-17 15: 30:05 | INFO | qsh.server | event=session_open session='S0009' client='10.10.0.1' addr=('10.10.0.1', 35582)
2026-04-17T16:30:05.237088+01:00 2026-04-17 15: 30:05 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
2026-04-17T16:30:05.241868+01:00 2026-04-17 15: 30:05 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=238 sifted_rate=0.4648
2026-04-17T16:30:05.243294+01:00 2026-04-17 15: 30:05 | INFO | qsh.server | event=secure_channel_active session='S0009' client='10.10.0.1'
2026-04-17T16:30:05.250038+01:00 2026-04-17 15: 30:05 | INFO | qsh.server | event=request_received session='S0009' client='10.10.0.1' action='auth'
2026-04-17T16:30:05.470383+01:00 2026-04-17 15: 30:05 | INFO | qsh.server | event=auth_success session='S0009' client='10.10.0.1'
2026-04-17T16:30:58.797626+01:00 2026-04-17 15: 30:58 | INFO | qsh.server | event=request_received session='S0009' client='10.10.0.1' action='shell'
2026-04-17T16:30:58.797626+01:00 2026-04-17 15: 30:58 | INFO | qsh.server | event=command_execute session='S0009' client='10.10.0.1' command='pwd'
2026-04-17T16:31:30.020070+01:00 2026-04-17 15: 31:30 | INFO | qsh.server | event=request_received session='S0009' client='10.10.0.1' action='quit'
2026-04-17T16:31:30.021607+01:00 2026-04-17 15: 31:30 | INFO | qsh.server | event=session_close session='S0009' client='10.10.0.1' reason='client_quit'
