[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:12174 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5555 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8181 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3300 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1044 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5679 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5225 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1108 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:2604 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1840 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:49161 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5120 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:31038 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:464 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3221 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:4444 | PROTO=TCP | ALERT=POSSBL SCAN SHELL M-SPLOIT TCP | SEVERITY=1
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:31337 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3826 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:4567 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:60443 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:83 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:33899 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:7777 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1503 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:7938 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1038 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1084 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:783 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:27356 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8011 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:19350 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:27000 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:2968 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:16000 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:32777 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3003 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8701 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3827 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9575 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1064 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1072 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:16001 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1002 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1700 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:85 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:6346 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:2107 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1076 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:6788 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:6580 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:11110 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:52869 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8045 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:49176 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:2717 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:2013 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:81 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1094 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1352 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:15003 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:10628 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1048 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1501 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:7741 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1185 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3493 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9050 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5100 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8099 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1085 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9898 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:425 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:30 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1805 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:32782 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9943 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1092 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:548 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8180 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5631 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:19801 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:18988 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1071 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:32 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9917 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1009 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:24 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:27355 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1234 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:2048 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5850 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1117 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5226 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3001 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:4343 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:843 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8300 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:26214 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:6547 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1198 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5989 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:6129 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5902 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:44443 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:12345 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
