[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9110 | UID=C2QZINryoA5Eljui1 | ATTACK=hostsweep | CONF=0.5280
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:119 | UID=C0v2fG1BmI60FPwU96 | ATTACK=hostsweep | CONF=0.6622
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:4004 | UID=CNERnf1IQEArPTiihl | ATTACK=portscan | CONF=0.7322
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:30000 | UID=COWpG22nvayMc3AAV | ATTACK=portscan | CONF=0.9528
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3737 | UID=CX9TJEcBDp9q9496 | ATTACK=portscan | CONF=0.9950
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9900 | UID=CCxnBo4gnvrItW1vab | ATTACK=portscan | CONF=0.9953
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:49 | UID=CKQyyk3UKymZepaeob | ATTACK=portscan | CONF=0.9953
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1064 | UID=CwkStD14oe81cEO9A3 | ATTACK=portscan | CONF=0.9953
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3052 | UID=CoijGu2fpiw9p5NNm3 | ATTACK=portscan | CONF=0.9953
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1010 | UID=CHMhXl1BUbbScIukkb | ATTACK=portscan | CONF=0.9951
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1072 | UID=C4raMN2QUPlBDPCSYh | ATTACK=portscan | CONF=0.9944
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:6689 | UID=CLIwwo10JAMgAIP1Ni | ATTACK=portscan | CONF=0.9975
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:16018 | UID=C3ZbSxTI6z1GroEtb | ATTACK=hostsweep | CONF=0.9203
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:16993 | UID=CfTF28EIztHUAYMzj | ATTACK=portscan | CONF=0.9667
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:4899 | UID=CxQHJQ3WC1WKOjeZMe | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:6668 | UID=CKPcpOQOpfCshI15i | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:19 | UID=C7SqVT2HsFg9eEUTQg | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:417 | UID=CYLDXm445wlOfXLKdl | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:49165 | UID=Ccvrah4hxycz0LrQgd | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2718 | UID=CZsTko4yE6NfUPEIm3 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1761 | UID=CwliHj4x6UjzuQj5u7 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:26 | UID=CeMNy13icB8n1I74C7 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8994 | UID=CignFe4gV5AAADdyy5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:10082 | UID=CURCLK1oL4zis5Zs5i | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:19842 | UID=CJ7wFY3BnlYwsF4PPd | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:49163 | UID=CS03492EzhXHzPBUv8 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3390 | UID=CtpScz4k9kJbMs53r6 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1163 | UID=C8TMDd4Fm1uuzjqpTh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9943 | UID=CX7wZj3vjdtMDMili6 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:14442 | UID=C5hQD4WVjXhXxi4Ak | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:366 | UID=CFtmXo4y6tV9sHV96k | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:444 | UID=CnTHag1KeFZ59ayd12 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3826 | UID=CifMg31DtncaiLyp04 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2170 | UID=CeoYmFNwi4SUuq5Z8 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:6699 | UID=CBLpUK3nEUiVbAvCFj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:11967 | UID=COlILu46EY1QzpfOJd | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2394 | UID=CQ3PICLU3ZUjAj0dh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1007 | UID=Cybf7p3fLaEp3wYsRc | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3031 | UID=CtSIo84PUQRuBdIl26 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:49400 | UID=CsfHBu3FX9MpgBKNs5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:7627 | UID=CiVbgu4ARwgq2u1E3g | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1047 | UID=Cu1M6J2VGMjxHaJmLd | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5959 | UID=CPZrYM2jtWCzoAUk3e | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1839 | UID=CiVQtQ36CjH4rb2K5f | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5985 | UID=Ct4Dlo2rnbdsj79lf5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:55600 | UID=CHWX7G1KmUmcWukLM5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:40193 | UID=Crjug9ICbZwl0gtn3 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2968 | UID=CVUe9IUBnWSyzI4gl | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:27355 | UID=CxgQb74BJBX1MLnc3j | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8222 | UID=CcHnE31cVnoLqidmv1 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1935 | UID=C7jt9JN2jbo5Dmt09 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9090 | UID=CJ6IDo1yTCYzSIabz5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:843 | UID=CkbMTW1s8HbcFir5Ih | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:50636 | UID=Cvycpz4rN52MdAxcmh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5950 | UID=CV4v7E1zIorZbXF5cc | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:7402 | UID=CmQOzd2xGd8CrSniK6 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5200 | UID=Cymm5F3zAVc6xNklZk | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5009 | UID=CBYINg3qDr5daJKnVi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:10566 | UID=Cyg9m59Eo0wPUuad | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:7000 | UID=CHElxbdzv87cu89J2 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3766 | UID=C4HvoYtY8vEedilP2 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1038 | UID=CRNj7I1ovUEYqnxpCb | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5405 | UID=C5qN7X2QQHvbiifHYh | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1192 | UID=C3bRDRJNOUDZDBqrl | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1054 | UID=CyPuKi3JHBc9Tvi2Rk | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8873 | UID=C0aiwa2ww2aBDPXQDf | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1028 | UID=CpTXzU3DKPomv6zq8k | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:280 | UID=CuP7pR1FOHgWohghY | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:84 | UID=Ca1ReV3eHznhmmgVl1 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:163 | UID=CMqyuu9z8go8nHea | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2522 | UID=CurMPy1VvylyAojUHj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8290 | UID=CGz46H1QQH8GPAAoIj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9929 | UID=COpN7F3p6Ukro4Qq5k | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:808 | UID=CBAwhv1esILhBSxjc | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:8085 | UID=ChpzNX3iQu2Lhw4dM7 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:8383 | UID=CFGi5b2VeUyzLwPyR2 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:427 | UID=CcJC413td8qwcdaRW7 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:61900 | UID=CL9bSM35ID7bTC5gj3 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:2638 | UID=C9xdqFjDGDgV5U9L4 | ATTACK=portscan | CONF=0.9971
